category,category_title,full_name,url,description,stars,pushed_at,language,license,interesting_score
agent_runtime_orchestration,Agent Runtime & Orchestration,openclaw/openclaw,https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,374135,2026-05-23T15:47:11Z,TypeScript,MIT,100.0
agent_runtime_orchestration,Agent Runtime & Orchestration,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,164044,2026-05-23T12:55:27Z,Python,MIT,98.1
agent_runtime_orchestration,Agent Runtime & Orchestration,langflow-ai/langflow,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,148690,2026-05-23T10:38:02Z,Python,MIT,97.7
agent_runtime_orchestration,Agent Runtime & Orchestration,langchain-ai/langchain,https://github.com/langchain-ai/langchain,The agent engineering platform.,137466,2026-05-23T08:42:49Z,Python,MIT,97.4
agent_runtime_orchestration,Agent Runtime & Orchestration,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,"🔥 Search, scrape, and clean the web for AI agents.",123306,2026-05-23T13:17:49Z,TypeScript,AGPL-3.0,96.9
agent_runtime_orchestration,Agent Runtime & Orchestration,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,104516,2026-05-23T12:40:16Z,TypeScript,Apache-2.0,96.1
agent_runtime_orchestration,Agent Runtime & Orchestration,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",189377,2026-05-23T15:35:24Z,TypeScript,NOASSERTION,95.2
agent_runtime_orchestration,Agent Runtime & Orchestration,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,A collection of DESIGN.md files inspired by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.,82967,2026-05-18T14:31:59Z,,MIT,95.1
agent_runtime_orchestration,Agent Runtime & Orchestration,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",78866,2026-05-21T19:34:08Z,Rust,MIT,94.9
agent_runtime_orchestration,Agent Runtime & Orchestration,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,TradingAgents: Multi-Agents LLM Financial Trading Framework,78806,2026-05-17T07:54:07Z,Python,Apache-2.0,94.9
codex_claude_workflows,"Codex, Claude & Skill Workflows",ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,The repo is finally unlocked. enjoy the party! The fastest repo in history to surpass 100K stars ⭐. Join Discord: https://discord.gg/5TUQKqFWd Built in Rust using oh-my-codex.,192294,2026-05-22T21:31:16Z,Rust,MIT,98.8
codex_claude_workflows,"Codex, Claude & Skill Workflows",mattpocock/skills,https://github.com/mattpocock/skills,Skills for Real Engineers. Straight from my .claude directory.,102030,2026-05-20T08:46:54Z,Shell,MIT,96.0
codex_claude_workflows,"Codex, Claude & Skill Workflows",VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,A collection of DESIGN.md files inspired by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.,82967,2026-05-18T14:31:59Z,,MIT,95.1
codex_claude_workflows,"Codex, Claude & Skill Workflows",farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",78866,2026-05-21T19:34:08Z,Rust,MIT,94.9
codex_claude_workflows,"Codex, Claude & Skill Workflows",thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",77628,2026-05-21T10:26:19Z,TypeScript,Apache-2.0,94.8
codex_claude_workflows,"Codex, Claude & Skill Workflows",anthropics/skills,https://github.com/anthropics/skills,Public repository for Agent Skills,139638,2026-05-19T14:11:10Z,Python,,93.8
codex_claude_workflows,"Codex, Claude & Skill Workflows",anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",125950,2026-05-23T04:03:51Z,Shell,,93.4
codex_claude_workflows,"Codex, Claude & Skill Workflows",shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,from vibe coding to agentic engineering - practice makes claude perfect,54538,2026-05-23T11:16:44Z,HTML,MIT,93.3
codex_claude_workflows,"Codex, Claude & Skill Workflows",ruvnet/ruflo,https://github.com/ruvnet/ruflo,"🌊 The leading agent orchestration platform for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features    enterprise-grade architecture, self-learning swarm intelligence, RAG integration, and native Claude Code / Codex Integration",54346,2026-05-23T08:53:35Z,TypeScript,MIT,93.2
codex_claude_workflows,"Codex, Claude & Skill Workflows",VoltAgent/awesome-openclaw-skills,https://github.com/VoltAgent/awesome-openclaw-skills,"The awesome collection of OpenClaw skills. 5,400+ skills filtered and categorized from the official OpenClaw Skills Registry.🦞",49194,2026-05-23T14:34:30Z,,MIT,92.8
mcp_integrations,MCP & Tool Integrations,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,294749,2026-05-20T18:17:19Z,,NOASSERTION,96.4
mcp_integrations,MCP & Tool Integrations,sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",58070,2026-05-23T12:28:32Z,Python,GPL-3.0,93.5
mcp_integrations,MCP & Tool Integrations,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,41231,2026-05-23T12:47:51Z,TypeScript,Apache-2.0,92.0
mcp_integrations,MCP & Tool Integrations,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,86124,2026-05-21T18:10:38Z,TypeScript,NOASSERTION,91.7
mcp_integrations,MCP & Tool Integrations,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,87641,2026-05-02T16:08:17Z,,MIT,91.6
